ID_REF,VALUE
10178_at,3.4586
10179_at,10.218
10180_at,8.5289
10181_at,9.3053
10184_at,7.0887
10186_at,7.4866
10188_at,4.5265
10189_at,9.8889
1019_at,10.225
10190_at,10.507
10193_at,7.2276
10194_at,6.7698
10195_at,10.053
10196_at,9.3917
10197_at,9.1186
10198_at,6.5886
10199_at,9.1117
102_at,8.9682
1020_at,7.6258
10200_at,9.2061
10201_at,7.8935
10202_at,6.2367
10203_at,3.9675
10205_at,8.3205
10206_at,7.1355
10207_at,6.8188
10208_at,9.3916
10209_at,13.338
1021_at,6.6268
10210_at,8.7151
10211_at,10.791
10212_at,9.9208
10213_at,11.947
10214_at,4.0975
10215_at,3.7207
10216_at,3.7495
10217_at,7.7772
10218_at,3.6515
10219_at,4.5517
1022_at,10.723
10220_at,5.592
10221_at,4.584
10223_at,4.1687
10225_at,3.783
10226_at,10.293
10227_at,7.0388
10228_at,7.6548
10229_at,6.0167
10230_at,7.5855
10231_at,3.697
10232_at,5.7644
10233_at,6.2073
10234_at,4.3034
10235_at,5.4812
10236_at,11.301
10237_at,10.794
10238_at,9.4143
1024_at,6.6126
10240_at,9.2495
10241_at,10.045
10242_at,3.9125
10243_at,6.7679
10244_at,8.2818
10245_at,8.6401
10246_at,4.4134
10247_at,9.6342
10248_at,9.0372
10249_at,3.6945
1025_at,6.1686
10250_at,10.432
10251_at,3.5309
10252_at,6.2742
10253_at,6.6174
10254_at,7.0366
10255_at,4.1054
10256_at,5.9757
10257_at,6.1344
1026_at,8.9004
10260_at,6.4741
10261_at,3.3575
10262_at,8.1299
10263_at,9.806
10265_at,5.036
10266_at,4.0799
10267_at,5.8561
10268_at,4.3648
10269_at,11.04
1027_at,10.608
10270_at,7.2597
10272_at,6.8494
10273_at,9.615
10274_at,7.0397
10276_at,9.456
10277_at,6.8576
10278_at,6.5896
10279_at,8.3373
1028_at,8.2116
10280_at,9.0944
10281_at,4.0497
10282_at,9.4468
10283_at,8.3478
10284_at,7.8168
10285_at,10.204
10286_at,10.653
10287_at,7.3429
10288_at,3.443
10289_at,10.616
1029_at,4.7746
10290_at,4.6564
10291_at,8.8059
10293_at,5.9506
10294_at,10.612
10295_at,8.4175
10296_at,9.167
10297_at,4.0985
10298_at,9.8997
10299_at,10.827
103_at,11.918
1030_at,3.4936
10300_at,5.9806
10301_at,8.5265
10302_at,4.9273
10307_at,6.2046
10308_at,9.0153
10309_at,5.7954
