ID_REF,VALUE,Description
10324_at,3.8485,kelch repeat and BTB (POZ) domain containing 10
10332_at,3.8716,"C-type lectin domain family 4, member M"
10345_at,3.5425,triadin
10350_at,3.5652,"ATP-binding cassette, sub-family A (ABC1), member 9"
10351_at,3.7369,"ATP-binding cassette, sub-family A (ABC1), member 8"
1036_at,3.8265,"dioxygenase, type I"
10368_at,3.9047,"calcium channel, voltage-dependent, gamma subunit 3"
1038_at,3.5803,"degeneration-related protein 1, 34kDa"
10396_at,3.5827,"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1"
10402_at,3.6631,"ST3 beta-galactoside alpha-2,3-sialyltransferase 6"
1041_at,3.8931,
10418_at,3.7835,"spondin 1, extracellular matrix protein"
1043_at,3.8203,molecule
1046_at,3.8513,type homeobox 4
10462_at,3.5739,"C-type lectin domain family 10, member A"
10562_at,3.6786,olfactomedin 4
10563_at,3.5973,chemokine (C-X-C motif) ligand 13
10578_at,3.9158,granulysin
10584_at,3.8265,collectin sub-family member 10 (C-type lectin)
10586_at,3.4327,mab-21-like 2 (C. elegans)
10631_at,3.6153,"periostin, osteoblast specific factor"
10633_at,3.8767,"RAS-like, family 10, member A"
10647_at,3.5591,"secretoglobin, family 1D, member 2"
10648_at,3.5156,"secretoglobin, family 1D, member 1"
10660_at,3.6513,ladybird homeobox 1
10661_at,3.7986,Kruppel-like factor 1 (erythroid)
10665_at,3.4904,chromosome 6 open reading frame 10
10666_at,3.4938,CD226 molecule
10690_at,3.3716,"fucosyltransferase 9 (alpha (1,3) fucosyltransferase)"
1071_at,3.8332,"ester transfer protein, plasma"
10716_at,3.4444,"T-box, brain, 1"
10718_at,3.6674,neuregulin 3
10740_at,3.6888,RFPL1 antisense RNA 1 (non-protein coding)
10742_at,3.9257,retinoic acid induced 2
10744_at,3.7724,pituitary tumor-transforming 2
10750_at,3.8908,GRB2-related adaptor protein
10752_at,3.4109,cell adhesion molecule with homology to L1CAM (close homolog of L1)
10753_at,3.8612,calpain 9
10777_at,3.5415,"cAMP-regulated phosphoprotein, 21kDa"
1080_at,3.8551,"fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7)"
10800_at,3.8032,cysteinyl leukotriene receptor 1
10803_at,3.8093,chemokine (C-C motif) receptor 9
10815_at,3.7636,complexin 1
10816_at,3.9004,"serine peptidase inhibitor, Kunitz type, 3"
10846_at,3.8503,phosphodiesterase 10A
10850_at,3.5825,chemokine (C-C motif) ligand 27
10861_at,3.6787,"solute carrier family 26 (sulfate transporter), member 1"
10863_at,3.9168,ADAM metallopeptidase domain 28
1087_at,3.7072,antigen-related cell adhesion molecule 7
10871_at,3.9551,CD300c molecule
10875_at,3.6246,fibrinogen-like 2
10876_at,3.5365,epididymal protein 3A
10879_at,3.3494,submaxillary gland androgen regulated protein 3B
1088_at,3.6877,antigen-related cell adhesion molecule 8
10880_at,3.9624,actin-like 7B
10886_at,3.8137,neuropeptide FF receptor 2
10888_at,3.8727,G protein-coupled receptor 83
10891_at,3.8659,"peroxisome proliferator-activated receptor gamma, coactivator 1 alpha"
10893_at,3.8962,matrix metallopeptidase 24 (membrane-inserted)
10894_at,3.5658,lymphatic vessel endothelial hyaluronan receptor 1
10895_at,3.5149,pro-platelet basic protein-like 2
10911_at,3.4729,urotensin 2
10912_at,3.9032,"growth arrest and DNA-damage-inducible, gamma"
10990_at,3.5511,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5"
11006_at,3.5011,"leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 4"
11024_at,3.8265,"leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 1"
